mmsi,imo_number,latitude,longitude,timestamp,speed,course,vessel_type
123456789,IMO9000001,15.185,73.495,2026-08-28T23:00:00Z,12.5,45.0,Cargo
123456789,IMO9000001,15.190,73.502,2026-08-28T23:10:00Z,12.7,45.5,Cargo
123456789,IMO9000001,15.195,73.508,2026-08-28T23:20:00Z,12.8,44.8,Cargo
123456789,IMO9000001,15.199,73.511,2026-08-28T23:30:00Z,12.6,43.5,Cargo
123456789,IMO9000001,15.201,73.512,2026-08-28T23:40:00Z,12.4,42.0,Cargo
123456789,IMO9000001,15.204,73.516,2026-08-28T23:50:00Z,12.2,41.5,Cargo
987654321,IMO9000002,15.260,73.600,2026-08-28T22:50:00Z,10.0,180.0,Tanker
987654321,IMO9000002,15.255,73.598,2026-08-28T23:10:00Z,10.2,182.0,Tanker
987654321,IMO9000002,15.250,73.595,2026-08-28T23:30:00Z,10.1,185.0,Tanker
987654321,IMO9000002,15.245,73.592,2026-08-28T23:50:00Z,9.8,188.0,Tanker
555555555,IMO9000003,15.050,73.400,2026-08-28T22:40:00Z,15.0,90.0,Passenger
555555555,IMO9000003,15.055,73.410,2026-08-28T23:00:00Z,15.2,91.0,Passenger
555555555,IMO9000003,15.060,73.420,2026-08-28T23:20:00Z,15.1,89.0,Passenger
555555555,IMO9000003,15.065,73.430,2026-08-28T23:40:00Z,15.0,88.0,Passenger
